repetition,difference_in_means,running_mean
185,5.542993934362315,5.096040687810404
186,5.682865758407928,5.09919566130824
187,5.430289687277906,5.100966217596848
188,4.501941940599167,5.097779918251115
189,4.891674450829299,5.096689413132481
190,4.8334558919795825,5.095303973547465
191,5.369145729141408,5.096737700016544
192,5.622365050069078,5.099475342464735
193,4.208776560889319,5.09486032287108
194,4.510995239345732,5.091850709038474
195,5.168463381578633,5.09224359453868
196,2.8775275125714614,5.0809440226919085
197,6.065184529279534,5.0859401673954
198,5.30835150915982,5.08706345700027
199,4.8396964121100865,5.0858204065234345
200,5.373475255712748,5.087258680769382
201,7.050694629007481,5.097027018820317
202,4.381822587558233,5.09348640282397
203,5.170404454525254,5.093865309482598
204,4.663365080258899,5.091755014241305
205,4.423137130795425,5.088493463590349
206,4.210201582546489,5.084229910769748
207,5.25961152158763,5.085077164928288
208,5.160856839319081,5.085441490285937
209,5.364821298852817,5.086778235781472
210,4.249714463859533,5.0827922178199385
211,4.729859201010953,5.08111954949383
212,6.862106707972977,5.089520432316845
213,5.58194529261435,5.0918322861210585
214,4.720602928567743,5.090097569496977
215,5.857061627814559,5.093664844186827
216,6.506440399085946,5.100205471755804
217,6.119347148682735,5.104901977179431
218,6.095206802083538,5.1094446598624765
219,6.934328682705484,5.117777463619751
220,5.514885408740923,5.119582499733938
221,5.508933576851092,5.121344269313654
222,4.278270452676168,5.11754663950898
223,5.093338325648887,5.117438082047724
224,4.278650373095488,5.11369349406133
225,5.707378751035051,5.116332095203436
226,5.512552241132582,5.118085281689848
227,6.012058821208441,5.122023491115041
228,5.217186773724777,5.122440873933504
229,4.275916265738843,5.11874425992392
230,6.1914975295791805,5.123408404574595
231,3.5203372124795607,5.116468702444314
232,4.864022186161378,5.115380570908611
233,5.929488646216313,5.118874596982893
234,4.490226176062549,5.116188065269559
235,3.584584653309804,5.10967060394207
236,5.508317346400048,5.111359785054181
237,4.911180158635531,5.110515145280262
238,5.020018923452483,5.110134909054095
239,4.907982211569035,5.109289081867965
240,5.728587876073803,5.111869493510489
241,4.728916890347065,5.110280478559603
242,5.317497274497285,5.111136746311412
243,5.022698525059241,5.110772803014078
244,5.546791801764769,5.112559766123712
245,3.904526699283039,5.107629018912117
246,4.475436250529597,5.105059129609749
247,4.865517582551476,5.104089325775505
248,5.842516802974714,5.107066855925502
249,4.074999828827217,5.102922008427115
250,4.849013627568169,5.101906374903679
251,5.27358512879951,5.102590354002866
252,4.853273019411205,5.101600999500519
253,5.59589003259228,5.103554711093767
254,4.201307000696545,5.10000255475362
255,6.103354761792303,5.103937269291026
256,4.501079810452509,5.101582357342439
257,4.7232879592712465,5.100110394704029
258,3.808710511231041,5.095104968799095
259,6.017621570221522,5.0986668089590275
260,4.574194633080879,5.096649608282573
261,6.852114330621099,5.103375526758966
262,4.201694519300148,5.099933996196146
263,4.984097624334055,5.099493553717583
264,3.6354616220169476,5.093947978218717
265,6.056059218758151,5.097578586673582
266,4.038182784697341,5.0935958956887095
267,4.56907467620988,5.09163139673935
268,4.20263388278795,5.088314241836547
269,4.349389684017055,5.085567310394839
270,4.542398033073496,5.083555572330686
271,6.465271742001391,5.088654155982606
272,4.726943630414212,5.0873243378739
273,3.2769504770787847,5.080692931790401
274,6.206613304923039,5.084802130232491
275,4.828187560883194,5.083868986343948
276,5.443523153731903,5.085172081153325
277,3.2713385924732847,5.07862394581513
278,5.564061622011607,5.080370124506484
279,4.704142266851136,5.079021637561483
280,4.990713810576921,5.078706252465109
281,5.914791733656287,5.081681645636608
282,4.036534190567963,5.077975448987429
283,5.506557248683009,5.079489872307907
284,5.166042850678238,5.0797946363162545
285,4.727342719677637,5.078557962924539
286,4.645129931042149,5.07704248029558
287,4.912157489817275,5.076467968133635
288,3.5701872780831536,5.071237826848737
289,5.927700682087888,5.0742013661402225
290,4.229040282011866,5.071287017574262
291,4.48358331237894,5.069267417212766
292,5.061952154468614,5.069242364943094
293,4.753605312343808,5.0681651053779095
294,4.0427706331115445,5.064677369077684
295,5.9043952400405715,5.067523870335185
296,4.935580730032157,5.06707811648281
297,6.171692489618849,5.070797356796399
298,4.77021488312694,5.069788690777374
299,3.713223068636708,5.0652516820076725
300,4.973673979984426,5.064946423000929
301,5.222226885418479,5.065468949454143
302,5.002162048305664,5.065259323953651
303,3.7480674080215977,5.060912155914272
304,5.338012863823465,5.061823671400815
305,6.258532645247534,5.06574730738064
306,5.59435833381491,5.067474794395132
307,3.0219347393688736,5.060811797473222
308,5.023430187568437,5.060690428609894
309,4.236113128543479,5.058021893658224
310,4.280029564133585,5.055512240982337
311,3.2581021717937517,5.04973278738366
312,4.470270036070744,5.047875534975606
313,4.736818380160059,5.046881742148719
314,5.974690771202319,5.049836547973731
315,6.623398334095839,5.054831982215388
316,5.025151433029777,5.054738056426826
317,4.310520168599851,5.052390365928949
318,5.036448096904309,5.052340233007488
319,4.466411059572891,5.050503464438727
320,4.599820331947527,5.0490950796496925
321,4.965072190162132,5.048833326099887
322,4.997651254538027,5.048674375567087
323,5.630648634544187,5.050476153458656
324,5.981714300291927,5.05335034526987
325,5.65021552345253,5.055186853510432
326,4.928886211437387,5.054799428228
327,4.941405067072239,5.054452656481346
328,5.092598828556348,5.054568955786452
329,5.969987600989398,5.057351383279471
330,6.31676099717545,5.061167776048852
331,5.510106557326395,5.062524086566308
332,5.33551877574844,5.063346359726494
333,5.427554100092621,5.064440076664531
334,5.101425400919226,5.064550811168288
335,5.220519956342585,5.065016390706121
336,4.944850223247599,5.064658753302971
337,3.964549253301783,5.061394333421662
338,5.848650292597043,5.063723493064193
339,4.160040529442853,5.061057761608082
340,5.233313423606759,5.0615643959080785
341,5.366431431913384,5.062458434136833
342,5.563912131877586,5.063924673019116
343,5.037661562399407,5.0638481041834895
344,6.118530594930149,5.066914041656591
345,3.912137921665689,5.063566864497196
346,3.5770727593325375,5.059270638759727
347,4.450751635229963,5.0575169816890355
348,5.366129401134657,5.058403798986293
349,4.711413774692986,5.057409558229006
350,5.136391464557406,5.057635220818515
351,4.681076260698603,5.056562403268316
352,4.506490472719534,5.054999698920167
353,4.462108646434174,5.053320120867798
354,5.830302653491955,5.0555149867791656
355,3.657471278876244,5.051576835489298
356,3.9753703552046176,5.048553783578386
357,4.649127767373585,5.04743494319686
358,4.9977851355444045,5.047296256583306
359,4.784432184457913,5.046564044683236
360,4.171536598953935,5.0441334128895425
361,6.311535017965987,5.047644220659838
